,description,address,price
0,3 habs.1 baño60 m²con ascensor,PisoHorta - Guinardóahora,750 € /mes
1,2 habs.1 baño59 m²con ascensor,"PisoCarrer del Cardenal Tedeschini, Sant Andreuahora",770 € /mes
2,1 hab.1 baño30 m²con ascensor y terraza,"PisoCarrer del Pare Laínez, Gràciaahora",1.300 € /mes
3,1 hab.1 baño70 m²con ascensor y terraza,"PisoPasseig D'isabel II, 2, Barcelona, España, Ciutat Vellaahora",2.800 € /mes
4,2 habs.1 baño44 m²con ascensor,"PisoCarrer de Cienfuegos, Sant Andreuahora",720 € /mes
5,3 habs.2 baños118 m²,ÁticoHorta - Guinardóahora,1.100 € /mes
6,2 habs.2 baños65 m²con ascensor y terraza,Planta bajaSarrià - Sant Gervasiahora,1.370 € /mes
7,3 habs.3 baños84 m²con ascensor,PisoSarrià - Sant Gervasiahora,1.350 € /mes
8,2 habs.1 baño60 m²con ascensor,"PisoCarrer del Camp, Sarrià - Sant Gervasiahora",900 € /mes
9,4 habs.2 baños106 m²con ascensor,"PisoRonda del Guinardó, Horta - Guinardóahora",1.165 € /mes
10,2 habs.1 baño70 m²con ascensor,"PisoCarrer de Berlín, Les Cortsahora",1.050 € /mes
11,4 habs.2 baños161 m²con ascensor,PisoSarrià - Sant Gervasiahora,2.500 € /mes
12,4 habs.2 baños150 m²con terraza,Casa o chaletSarrià - Sant Gervasiahora,3.000 € /mes
13,2 habs.1 baño55 m²con ascensor,"PisoCalle Pallars, 276, Sant Martíahora",1.335 € /mes
14,4 habs.2 baños175 m²con ascensor y terraza,"PisoGran Via de Les Corts Catalanes, Eixamplehace 1 día",2.200 € /mes
15,3 habs.2 baños145 m²con ascensor y terraza,"PisoVia Augusta, Sarrià - Sant Gervasihace 1 día",2.500 € /mes
16,2 habs.2 baños82 m²con ascensor,"PisoCarrer de Los Castillejos, 263, Eixampleahora",980 € /mes
17,2 habs.1 baño66 m²con ascensor,"PisoCarrer D'aragó, 472, Eixampleahora",1.050 € /mes
18,4 habs.3 baños129 m²con ascensor,"DúplexCarrer de França, Horta - Guinardóahora",1.500 € /mes
19,3 habs.2 baños95 m²con ascensor y parking,PisoEixampleahora,1.350 € /mes
20,3 habs.2 baños92 m²con ascensor,"PisoCarrer de Gomis, Gràciaahora",1.080 € /mes
21,3 habs.2 baños130 m²con ascensor y parking,PisoLes Cortsahora,2.500 € /mes
22,3 habs.1 baño76 m²con ascensor,ÁticoHorta - Guinardóahora,950 € /mes
23,3 habs.2 baños80 m²con ascensor,PisoSants - Montjuïcahora,850 € /mes
24,3 habs.2 baños102 m²,PisoEixampleahora,1.800 € /mes
25,2 habs.2 baños150 m²con ascensor,PisoEixampleahora,2.300 € /mes
26,4 habs.1 baño90 m²con ascensor,PisoSants - Montjuïcahora,950 € /mes
27,3 habs.1 baño68 m²con ascensor,PisoHorta - Guinardóahora,842 € /mes
28,2 habs.2 baños65 m²con ascensor y terraza,Planta bajaSarrià - Sant Gervasiahora,1.370 € /mes
29,3 habs.3 baños84 m²con ascensor,PisoSarrià - Sant Gervasiahora,1.350 € /mes
30,2 habs.1 baño60 m²con ascensor,"PisoCarrer del Camp, Sarrià - Sant Gervasiahora",900 € /mes
