,price,rooms,bathroom,lift,terrace,square_meters,real_state,neighborhood,square_meters_price
0,750,3,1,True,False,60,flat,Horta- Guinardo,12.5
1,770,2,1,True,False,59,flat,Sant Andreu,13.05084745762712
2,1300,1,1,True,True,30,flat,Gràcia,43.333333333333336
3,2800,1,1,True,True,70,flat,Ciutat Vella,40.0
4,720,2,1,True,False,44,flat,Sant Andreu,16.363636363636363
5,1100,3,2,False,False,118,attic,Horta- Guinardo,9.322033898305085
6,1350,3,3,True,False,84,flat,Sarria-Sant Gervasi,16.071428571428573
7,900,2,1,True,False,60,flat,Sarria-Sant Gervasi,15.0
8,1165,4,2,True,False,106,flat,Horta- Guinardo,10.99056603773585
9,1050,2,1,True,False,70,flat,Les Corts,15.0
10,2500,4,2,True,False,161,flat,Sarria-Sant Gervasi,15.527950310559007
11,1335,2,1,True,False,55,flat,Sant Martí,24.272727272727273
12,2200,4,2,True,True,175,flat,Eixample,12.571428571428571
13,2500,3,2,True,True,145,flat,Sarria-Sant Gervasi,17.24137931034483
14,980,2,2,True,False,82,flat,Eixample,11.951219512195122
15,1050,2,1,True,False,66,flat,Eixample,15.909090909090908
16,1500,4,3,True,False,129,,Horta- Guinardo,11.627906976744185
17,1350,3,2,True,False,95,flat,Eixample,14.210526315789474
18,1080,3,2,True,False,92,flat,Gràcia,11.73913043478261
19,2500,3,2,True,False,130,flat,Les Corts,19.23076923076923
20,950,3,1,True,False,76,attic,Horta- Guinardo,12.5
21,850,3,2,True,False,80,flat,Sants-Montjuïc,10.625
22,1800,3,2,False,False,102,flat,Eixample,17.647058823529413
23,2300,2,2,True,False,150,flat,Eixample,15.333333333333334
24,950,4,1,True,False,90,flat,Sants-Montjuïc,10.555555555555555
25,842,3,1,True,False,68,flat,Horta- Guinardo,12.382352941176471
26,1350,3,3,True,False,84,flat,Sarria-Sant Gervasi,16.071428571428573
27,900,2,1,True,False,60,flat,Sarria-Sant Gervasi,15.0
28,1165,4,2,True,False,106,flat,Horta- Guinardo,10.99056603773585
29,1050,2,1,True,False,70,flat,Les Corts,15.0
30,2500,4,2,True,False,161,flat,Sarria-Sant Gervasi,15.527950310559007
31,1335,2,1,True,False,55,flat,Sant Martí,24.272727272727273
32,900,1,1,True,False,45,flat,Eixample,20.0
33,1180,3,1,True,True,79,flat,Eixample,14.936708860759493
34,900,3,1,True,False,65,flat,Les Corts,13.846153846153847
35,1200,4,2,True,False,116,flat,Sarria-Sant Gervasi,10.344827586206897
36,750,1,1,False,False,45,flat,Eixample,16.666666666666668
37,1400,3,2,True,False,93,flat,Sarria-Sant Gervasi,15.053763440860216
38,852,4,1,True,False,75,flat,Sants-Montjuïc,11.36
39,1250,4,2,True,True,98,flat,Eixample,12.755102040816327
40,750,2,1,False,False,60,flat,Gràcia,12.5
41,1000,1,1,True,False,60,flat,Sarria-Sant Gervasi,16.666666666666668
42,1250,4,2,True,False,121,flat,Eixample,10.330578512396695
43,900,2,1,True,False,78,flat,Sant Martí,11.538461538461538
44,1600,3,2,True,True,78,attic,Gràcia,20.512820512820515
45,1450,4,2,True,False,177,flat,Sant Martí,8.192090395480227
46,900,2,1,True,False,55,flat,Sant Andreu,16.363636363636363
47,1350,3,2,True,False,76,flat,Sant Martí,17.763157894736842
48,1246,1,1,True,False,51,flat,Eixample,24.431372549019606
49,850,1,1,False,False,45,flat,Ciutat Vella,18.88888888888889
50,750,3,1,True,False,42,flat,Gràcia,17.857142857142858
51,1580,3,2,True,True,110,flat,Ciutat Vella,14.363636363636363
52,1950,4,2,True,True,158,flat,Eixample,12.341772151898734
53,1350,1,1,True,True,60,attic,Ciutat Vella,22.5
54,1060,4,2,True,False,90,flat,Sant Andreu,11.777777777777779
55,1350,3,2,True,False,104,flat,Sarria-Sant Gervasi,12.98076923076923
56,900,4,1,True,False,80,flat,Eixample,11.25
57,2700,4,2,True,False,85,,Sarria-Sant Gervasi,31.764705882352942
58,1600,2,2,True,False,100,flat,Eixample,16.0
59,625,2,1,True,False,41,flat,Horta- Guinardo,15.24390243902439
60,2550,2,2,True,False,137,flat,Ciutat Vella,18.613138686131386
61,925,4,2,True,True,101,flat,Sant Martí,9.158415841584159
62,2200,2,2,True,True,79,attic,Sant Martí,27.848101265822784
63,2700,3,2,True,False,85,,Sarria-Sant Gervasi,31.764705882352942
64,1290,2,1,True,False,70,flat,Les Corts,18.428571428571427
65,3000,3,2,False,False,150,apartment,Eixample,20.0
66,780,2,1,False,False,62,flat,Horta- Guinardo,12.580645161290322
67,1300,5,3,True,False,130,flat,Eixample,10.0
68,1053,4,2,True,False,95,flat,Sant Martí,11.08421052631579
69,1250,1,1,False,False,35,apartment,Eixample,35.714285714285715
70,650,1,1,False,False,55,flat,Ciutat Vella,11.818181818181818
71,1500,4,2,True,False,150,flat,Eixample,10.0
72,1190,4,2,True,False,130,flat,Eixample,9.153846153846153
73,660,2,1,False,False,46,flat,Sant Andreu,14.347826086956522
74,1585,4,2,True,True,123,flat,Sarria-Sant Gervasi,12.886178861788618
75,950,4,1,True,False,79,flat,Sant Andreu,12.025316455696203
76,1850,3,3,True,False,140,flat,Sarria-Sant Gervasi,13.214285714285714
77,1080,3,1,True,False,72,flat,Sant Martí,15.0
78,710,1,1,True,False,90,,Sants-Montjuïc,7.888888888888889
79,2200,4,2,False,False,90,apartment,Gràcia,24.444444444444443
80,3468,3,2,False,False,98,apartment,Ciutat Vella,35.38775510204081
81,1100,1,1,True,False,45,apartment,Les Corts,24.444444444444443
82,1700,2,2,True,False,73,flat,Sant Martí,23.28767123287671
83,590,0,1,False,False,46,,Ciutat Vella,12.826086956521738
84,770,1,1,False,False,55,flat,Sants-Montjuïc,14.0
85,3300,3,1,True,False,151,flat,Sarria-Sant Gervasi,21.85430463576159
86,700,2,1,False,False,50,flat,Sants-Montjuïc,14.0
87,2900,4,1,True,False,138,flat,Sarria-Sant Gervasi,21.014492753623188
88,3300,4,1,True,False,153,flat,Sarria-Sant Gervasi,21.568627450980394
89,2300,3,1,True,False,113,flat,Sarria-Sant Gervasi,20.353982300884955
90,825,2,1,True,False,38,flat,Ciutat Vella,21.710526315789473
91,1100,2,1,True,True,76,flat,Ciutat Vella,14.473684210526315
92,1000,2,2,True,True,65,flat,Ciutat Vella,15.384615384615385
93,850,1,1,True,False,61,flat,Gràcia,13.934426229508198
