,0
0,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-no-amueblado/158896313/d
1,/es/alquiler/vivienda/barcelona-capital/ascensor/159960439/d
2,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-amueblado/159397150/d
3,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado-se-aceptan-mascotas-piscina/155684832/d
4,/es/alquiler/vivienda/barcelona-capital/ascensor/159837228/d
5,/es/alquiler/vivienda/barcelona-capital/calefaccion/157979047/d
6,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor/159900768/d
7,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor/160009497/d
8,https://www.fotocasa.es/es/comprar/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking-piscina-no-amueblado/152503718/d?RowGrid=6&tti=1&opi=300
9,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television-internet/157552011/d
10,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/159911464/d
11,/es/alquiler/vivienda/barcelona-capital/parking-ascensor-amueblado/160001323/d
12,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado-television/160056144/d
13,/es/alquiler/vivienda/barcelona-capital/calefaccion-parking-jardin-terraza-amueblado-se-aceptan-mascotas/157935717/d
14,/es/alquiler/vivienda/obra-nueva/barcelona-capital/19725307/158927452
15,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-se-aceptan-mascotas-no-amueblado/155684821/d
16,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-parking-terraza-ascensor-no-amueblado/159007919/d
17,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-amueblado/160053910/d
18,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor/157777168/d
19,/es/alquiler/vivienda/barcelona-capital/ascensor-no-amueblado/160046331/d
20,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-parking-piscina/159954106/d
