,CP,neighborhood
0,8001,Ciutat Vella
1,8002,Ciutat Vella
2,8003,Ciutat Vella
3,8004,Sants-Montjuïc
4,8005,Sant Martí
5,8006,Sarria-Sant Gervasi
6,8007,Eixample
7,8008,Eixample
8,8009,Eixample
9,8010,Eixample
10,8011,Eixample
11,8012,Gràcia
12,8013,Eixample
13,8014,Sants-Montjuïc
14,8015,Eixample
15,8016,Nou Barris
16,8017,Sarria-Sant Gervasi
17,8018,Sant Martí
18,8019,Sant Martí
19,8020,Sant Martí
20,8021,Sarria-Sant Gervasi
21,8022,Sarria-Sant Gervasi
22,8023,Sarria-Sant Gervasi
23,8024,Gràcia
24,8025,Eixample
25,8026,Sant Martí
26,8027,Sant Andreu
27,8028,Les Corts
28,8029,Eixample
29,8030,Sant Andreu
30,8031,Nou Barris
31,8032,Horta- Guinardo
32,8033,Nou Barris
33,8034,Les Corts
34,8035,Horta- Guinardo
35,8036,Eixample
36,8037,Eixample
37,8038,Sants-Montjuïc
38,8039,Sants-Montjuïc
39,8040,Sants-Montjuïc
40,8041,Gràcia
41,8042,Nou Barris
42,8075,Sants-Montjuïc
43,8196,Horta- Guinardo
44,8903,Sants-Montjuïc
45,8904,Sants-Montjuïc
46,8930,Sant Martí
47,8960,Sarria-Sant Gervasi
